"","Invoice.Item.Number","Date","Store.Number","Store.Name","Address","City","Zip.Code","Store.Location","County.Number","County","Category","Category.Name","Vendor.Number","Vendor.Name","Item.Number","Item.Description","Pack","Bottle.Volume..ml.","State.Bottle.Cost","State.Bottle.Retail","Bottles.Sold","Sale..Dolars.","Volume.Sold..Liters.","Volume.Sold..Gallons."
"849","S24226000021","2015-02-25T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1011100,"BLENDED WHISKIES",65,"Jim Beam Brands",24454,"Kessler Blend Whiskey",24,375,3.15,4.73,4,18.92,1.5,0.39625807853
"850","S22328800025","2014-11-12T00:00:00.000",4674,"Kum & Go #227 / Ames","2108 ISSAC NEWTON DR","AMES",50010,"2108 ISSAC NEWTON DR
AMES 50010
(-93.585947, 42.009586)",85,"Story",1032080,"IMPORTED VODKA",370,"Pernod Ricard USA/Austin Nichols",34001,"Absolut Swedish Vodka 80 Prf Mini",10,600,7.92,11.88,3,35.64,1.8,0.47550969424
"851","S28770000010","2015-11-04T00:00:00.000",2853,"CVS Pharmacy #10452  /  Ames","2420 LINCOLN WAY","AMES",50014,"2420 LINCOLN WAY
AMES 50014
(-93.649579, 42.022745)",85,"Story",1051010,"AMERICAN GRAPE BRANDIES",205,"E AND J GALLO WINERY",52595,"E & J Vs Brandy Travelers",12,750,5.92,8.88,5,44.4,3.75,0.99064519634
"852","S06687900015","2012-07-19T00:00:00.000",4102,"Fareway Stores #386 / Ames","619 BURNETT AVE","AMES",50010,"619 BURNETT AVE
AMES 50010
(-93.615428, 42.027426)",85,"Story",1062310,"SPICED RUM",259,"Heaven Hill Brands",43026,"Admiral Nelson Spiced Rum",12,750,5.77,8.66,12,103.92,9,2.37754847122
"853","S28579600029","2015-10-20T00:00:00.000",4103,"Fareway Stores #093 / Ames","3619 STANGE RD","AMES",50010,"3619 STANGE RD
AMES 50010
(-93.645008, 42.057106)",85,"Story",1062200,"PUERTO RICO & VIRGIN ISLANDS RUM",35,"Bacardi U.S.A., Inc.",43128,"Bacardi Superior Rum",6,1750,15,22.5,6,135,10.5,2.77380654976
"854","S26781400015","2015-07-15T00:00:00.000",3943,"Good and Quick Co","519 LINCOLNWAY","NEVADA",50201,"519 LINCOLNWAY
NEVADA 50201
(-93.45299, 42.022712)",85,"Story",1062310,"SPICED RUM",259,"Heaven Hill Brands",43024,"Admiral Nelson Spiced Rum",24,375,2.74,4.11,6,24.66,2.25,0.5943871178
"855","S28088900015","2015-09-23T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1062310,"SPICED RUM",260,"Diageo Americas",43336,"Captain Morgan Original Spiced",12,750,9,13.5,12,162,9,2.37754847122
"856","S22863100227","2014-12-10T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1082900,"MISC. IMPORTED CORDIALS & LIQUEURS",420,"Moet Hennessy USA, Inc.",65126,"Grand Marnier Cordon Rouge",12,750,23.31,34.97,4,139.88,3,0.79251615707
"857","S10485900008","2013-02-07T00:00:00.000",4102,"Fareway Stores #386 / Ames","619 BURNETT AVE","AMES",50010,"619 BURNETT AVE
AMES 50010
(-93.615428, 42.027426)",85,"Story",1011200,"STRAIGHT BOURBON WHISKIES",259,"Heaven Hill Brands",17956,"Evan Williams Str Bourbon",12,750,6.87,10.3,12,123.6,9,2.37754847122
"858","S27960200088","2015-09-16T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1082900,"MISC. IMPORTED CORDIALS & LIQUEURS",35,"Bacardi U.S.A., Inc.",64336,"B&b D.o.m.",12,750,19.5,29.25,2,58.5,1.5,0.39625807853
"859","S07296400006","2012-08-27T00:00:00.000",3524,"Sam's Club 6568 / Ames","305 AIRPORT RD","AMES",50010,"305 AIRPORT RD
AMES 50010
(-93.61365, 42.001123)",85,"Story",1041100,"AMERICAN DRY GINS",434,"Luxco-St Louis",31657,"Paramount Gin",12,1000,4.3,6.44,12,77.28,12,3.17006462829
"860","S26385100055","2015-06-24T00:00:00.000",2501,"Hy-vee  #2 / Ames","640 LINCOLNWAY","AMES",50010,"640 LINCOLNWAY
AMES 50010
(-93.619455, 42.022848)",85,"Story",1032080,"IMPORTED VODKA",370,"Pernod Ricard USA/Austin Nichols",34004,"Absolut Swedish Vodka 80 Prf",24,375,6.49,9.74,4,38.96,1.5,0.39625807853
"861","S15300700127","2013-10-23T00:00:00.000",4129,"Cyclone Liquors","626 LINCOLN WAY","AMES",50010,"626 LINCOLN WAY
AMES 50010
(-93.618911, 42.022854)",85,"Story",1081390,"IMPORTED SCHNAPPS",421,"Sazerac Co., Inc.",69636,"Dr. Mcgillicuddy's Cherry Schnapps",12,750,8.66,12.99,2,25.98,1.5,0.39625807853
"862","S21262000091","2014-09-17T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1062310,"SPICED RUM",205,"E AND J GALLO WINERY",42444,"Shellback Spiced",12,750,8,12,2,24,1.5,0.39625807853
"863","S15196700172","2013-10-16T00:00:00.000",2500,"Hy-Vee Food Store #1 / Ames","3800 W LINCOLN WAY","AMES",50010,"3800 W LINCOLN WAY
AMES 50010
(-93.715664, 42.023145)",85,"Story",1082900,"MISC. IMPORTED CORDIALS & LIQUEURS",192,"Sidney Frank Importing Co.",65248,"Jagermeister Spice",12,750,12.05,18.08,4,72.32,3,0.79251615707
"864","S09977100050","2013-01-10T00:00:00.000",3973,"Mmdg Spirits / Ames","126A WELCH AVE","AMES",50014,"126A WELCH AVE
AMES 50014
(-93.650139, 42.022405)",85,"Story",1031200,"VODKA FLAVORED",380,"Phillips Beverage Company",41705,"Uv Red (cherry) Vodka",12,1000,7.5,11.25,1,11.25,1,0.26417205235
